"Business File Number","License Type","Entity Name","Trade Name","Current License Status","Expiration Date","Facility Street Number","Facility Pre-Direction","Facility Street Name","Facility Street Type","Facility Unit Number","Facility City","Facility Zip Code"
"2010-BFN-1045778","Medical Marijuana Center","HG LTD","HIGHER GRADE","License Issued - Active","9/9/2019 12:00:00 AM","3111","W","38TH","AVE","","DENVER","80211"
"2013-BFN-1068322","Med Marijuana Opt Prem Cultiv","ROYAL ASSET MANAGEMENT, LLC","ROYAL RESIN","License Issued - Active","9/25/2019 12:00:00 AM","755","S","JASON","ST","150","DENVER","80223"
"2013-BFN-1070319","Retail Marij Opt. Prem. Cultiv","4940 CORPORATION LLC","THE GARDEN","License Issued - Active","3/18/2020 12:00:00 AM","4940","E","39TH","AVE","","DENVER","80207"
"2012-BFN-1060796","Med Marijuana Opt Prem Cultiv","MEDICINAL WELLNESS CENTER, LLC","","License Issued - Active","9/24/2019 12:00:00 AM","5010","N","PARIS","ST","","DENVER","80239"
"2013-BFN-1069948","Retail Marijuana Inf Prod Mfg","VIRGINIA'S KITCHEN, LLC","BLUEKUDU","License Issued - Active","4/21/2020 12:00:00 AM","4805","N","KINGSTON","ST","","DENVER","80239"
"2013-BFN-1070229","Retail Marijuana Store","BEYOND BROADWAY, LLC","LIVWELL","License Issued - Active","3/10/2020 12:00:00 AM","432","S","BROADWAY","","","DENVER","80209"
"2013-BFN-1069433","Retail Marij Opt. Prem. Cultiv","EJB VENTURES, LLC","HARMONY EXTRACTS","License Issued - Active","3/24/2020 12:00:00 AM","4237","N","JOSEPHINE","ST","102 & 103","DENVER","80216"
"2013-BFN-1067616","Med Marijuana Opt Prem Cultiv","ZENGOLDS LLC","","License Issued - Active","6/9/2020 12:00:00 AM","5227","N","MONROE","ST","","DENVER","80209"
"2013-BFN-1066869","Med Marijuana Inf Prod Manuf","LOVE'S OVEN, LLC","","License Issued - Active","10/2/2019 12:00:00 AM","225","N","MARIPOSA","ST","","DENVER","80223"
"2017-BFN-0002515","Retail Marijuana Inf Prod Mfg","COLORADO MEDICAL PROCESSING, LLC","COLORADO BEST DABS","License Issued - Active","8/10/2020 12:00:00 AM","5475","N","Peoria Street Unit 4-111 & 4-112","ST","","Denver","80239"
"2013-BFN-1070422","Retail Marijuana Store","DENVER DISPENSARY, LLC","DENVER DISPENSARY, LLC","License Issued - Active","6/25/2020 12:00:00 AM","4975","N","VASQUEZ","BLVD","","DENVER","80216"
"2013-BFN-1070104","Retail Marijuana Store","HERBAL ALTERNATIVES, LLC","NEW BROADSTERDAM","License Issued - Active","2/24/2020 12:00:00 AM","2568","S","BROADWAY","","","DENVER","80210"
"2012-BFN-1060885","Med Marijuana Opt Prem Cultiv","PLATTE VALLEY DISPENSARY, LLC","PLATTE VALLEY DISPENSARY","License Issued - Active","3/19/2020 12:00:00 AM","3104","","BLAKE","ST","","DENVER","80205"
"2013-BFN-1069099","Retail Marijuana Store","DRAGON PARTNERS, LLC","GREEN DRAGON COLORADO","License Issued - Active","1/24/2020 12:00:00 AM","5130","E","COLFAX","AVE","","DENVER","80220"
"2013-BFN-1069263","Retail Marij Opt. Prem. Cultiv","WALKING RAVEN II, LLC","WALKING RAVEN","License Issued - Active","1/16/2020 12:00:00 AM","875","N","NAVAJO","ST","","DENVER","80204"
"2015-BFN-0007611","Medical Marijuana Center","LOST CREEK VENTURES, INC","BONFIRE CANNABIS COMPANY","License Issued - Active","3/1/2020 12:00:00 AM","4837","N","WASHINGTON","ST","100","DENVER","80216"
"2016-BFN-0005811","Retail Marijuana Inf Prod Mfg","L'EAGLE SERVICES LLC","L'EAGLE SERVICES LLC","License Issued - Active","9/20/2019 12:00:00 AM","380","N","Quivas","","","Denver","80223"
"2015-BFN-0007427","Med Marijuana Opt Prem Cultiv","SMOKED COLORADO, INC.","MIGHTY TREE","License Issued - Active","9/6/2019 12:00:00 AM","1994","S","CHEROKEE","ST","","DENVER","80223"
"2016-BFN-0004371","Retail Marijuana Inf Prod Mfg","NATURAL REMEDIES TECH, LLC","CONCENTRATE REMEDIES, EDIBLE REMEDIES, VAPOR REMEDIES","License Issued - Active","9/12/2019 12:00:00 AM","4675","N","Kingston","","","Denver","80239"
"2017-BFN-0007534","Marijuana Transporter","COLORADO LOGISTICS, LLC","","License Issued - Active","10/3/2019 12:00:00 AM","2145","S","Platte River","Dr","","Denver","80223"
"2017-BFN-0008896","Retail Marijuana Inf Prod Mfg","MX LLC","","License Issued - Active","1/31/2020 12:00:00 AM","3855","N","Quentin","St","","Denver","80239"
"2018-BFN-0002892","Marijuana Transporter","GPS TRANSPORTATION, LLC","","License Issued - Active","8/14/2019 12:00:00 AM","2186","S","Jason","St","","Denver","80223"
"2015-BFN-0000507","Retail Marijuana Store","GREEN AROUND YOU, LLC","GOLDEN MEDS, INC.","License Issued - Active","6/22/2020 12:00:00 AM","970","S","ONEIDA","ST","15","DENVER","80224"
"2013-BFN-1069359","Retail Marijuana Store","BUD BUM, LLC","BUD BUM","License Issued - Active","2/18/2020 12:00:00 AM","1325","S","INCA","ST","A","DENVER","80223"
"2013-BFN-1069098","Retail Marij Opt. Prem. Cultiv","HG LTD","HIGHER GRADE","License Issued - Active","4/11/2020 12:00:00 AM","4655","E","46TH","AVE","","DENVER","80216"
"2013-BFN-1069518","Retail Marijuana Store","MEDICINAL WELLNESS CENTER, LLC","OASIS CANNABIS SUPERSTORE","License Issued - Active","2/26/2020 12:00:00 AM","6359","E","EVANS","AVE","","DENVER","80222"
"2013-BFN-1068623","Med Marijuana Opt Prem Cultiv","LEVELS IV INC","LEVELS IV INC","License Issued - Active","6/26/2020 12:00:00 AM","5156","N","Clarkson","","2 Unit B","Denver",""
"2013-BFN-1069606","Retail Marijuana Inf Prod Mfg","MAHATMA GANGA, LLC","MAHATMA EXTREME CONCENTRATES","License Issued - Active","1/1/2020 12:00:00 AM","1045","W","45TH","AVE","","DENVER","80211"
"2014-BFN-1073251","Retail Marijuana Test Facility","AGRICOR LABORATORIES, LLC","","License Issued - Active","8/27/2020 12:00:00 AM","1001","S","GALAPAGO","ST","","DENVER","80223"
"2017-BFN-0003112","Retail Marijuana Inf Prod Mfg","SUSAN & STEPH INC","JADE & JANE","License Issued - Active","3/15/2020 12:00:00 AM","1275","S","Cherokee","ST","","Denver","80223"
"2012-BFN-1061556","Med Marijuana Opt Prem Cultiv","FOX STREET WELLNESS LLC","FOX 5280","License Issued - Active","4/18/2020 12:00:00 AM","4773","N","FOX","ST","","DENVER","80216"
"2013-BFN-1070231","Retail Marijuana Store","LIVWELL III, LLC","LIV WELL","License Issued - Active","5/15/2020 12:00:00 AM","1941","W","Evans","","","Denver","80223"
"2010-BFN-1045446","Medical Marijuana Center","KGBI COLORADO LLC","SPARK DISPENSARY","License Issued - Active","9/9/2019 12:00:00 AM","3900","E","48th","","","Denver","80216"
"2014-BFN-0004053","Retail Marijuana Store","CANNABIS FOR HEALTH, LLC","PIG N' WHISTLE","License Issued - Active","6/9/2020 12:00:00 AM","4801","W","COLFAX","AVE","","DENVER","80204"
"2015-BFN-0001350","Retail Marijuana Store","PG RETAIL I LLC","MILE HIGH GREEN CROSS","License Issued - Active","7/2/2020 12:00:00 AM","852","N","BROADWAY","","","DENVER","80203"
"2010-BFN-1045702","Medical Marijuana Center","DGS, INC","THE KIND ROOM","License Issued - Active","9/9/2019 12:00:00 AM","1881","S","BROADWAY","","","DENVER","80210"
"2010-BFN-1045766","Medical Marijuana Center","CONCENTRATE LLC","CONCENTRATE","License Issued - Active","9/9/2019 12:00:00 AM","2420","S","COLORADO","BLVD","","DENVER","80222"
"2010-BFN-1045818","Medical Marijuana Center","LITTLE MAN 54 LLC","","License Issued - Active","10/30/2019 12:00:00 AM","3819","N","QUENTIN","ST","","DENVER","80239"
"2014-BFN-1071384","Retail Marijuana Inf Prod Mfg","ALLIED CONCESSIONS GROUP, INC.","ORGANA LABS","License Issued - Active","5/23/2020 12:00:00 AM","2121","S","Jason","","","Denver","80223"
"2013-BFN-1069382","Retail Marijuana Store","WDG, INC.","BEMINDFUL","License Issued - Active","2/13/2020 12:00:00 AM","5926","E","COLFAX","AVE","","DENVER","80220"
"2014-BFN-1071725","Med Marijuana Opt Prem Cultiv","JVT ENTERPRISES, INC.","COLORADO CANNABIS CONNECTION","License Issued - Active","7/8/2020 12:00:00 AM","1075","S","JASON","ST","","DENVER",""
"2017-BFN-0002774","Retail Marij Opt. Prem. Cultiv","BGOOD VENTURES, LLC","BGOOD APOTHECARY","License Issued - Active","5/18/2020 12:00:00 AM","1031","W","CENTER","AVE","","DENVER","80223"
"2017-BFN-0004678","Retail Marijuana Inf Prod Mfg","ATHELAS BRANDS LLC","ATHELAS","License Issued - Active","12/19/2019 12:00:00 AM","2286","S","LIPAN","ST","","DENVER","80223"
"2016-BFN-0003858","Retail Marij Opt. Prem. Cultiv","HADCAV ENTERPRISES INC.","PURE MEDICAL DISPENSARY","License Issued - Active","2/1/2020 12:00:00 AM","5475","N","Peoria","","2-101-103","Denver","80239"
"2014-BFN-0004169","Retail Marij Opt. Prem. Cultiv","RJJ SHERIDAN, LLC","NATIVE ROOTS LITTLETON","License Issued - Active","5/19/2020 12:00:00 AM","4990","N","DAHLIA","ST","","DENVER","80216"
"2014-BFN-0004312","Medical Marijuana Center","NEW AMSTERDAM ORGANICS LTD","NEW AMSTERDAM ORGANICS","License Issued - Active","5/25/2020 12:00:00 AM","150","N","RIO GRANDE","BLVD","","DENVER","80223"
"2015-BFN-0000021","Med Marijuana Inf Prod Manuf","URBANE DEVELOPERS LLC","","License Issued - Active","10/9/2019 12:00:00 AM","2191","S","JASON","ST","","DENVER","80223"
"2010-BFN-1045924","Medical Marijuana Center","COMPASSIONATE CARE GIVERS, INC.","ROCKY MOUNTAIN HIGH","License Issued - Active","9/11/2019 12:00:00 AM","1233","W","ALAMEDA","AVE","","DENVER","80223"
"2012-BFN-1061672","Med Marijuana Opt Prem Cultiv","UNIVERSAL HERBS, LLC","UNIVERSAL HERBS","License Issued - Active","1/23/2020 12:00:00 AM","5959","E","39TH","AVE","102","DENVER","80207"
"2012-BFN-1061570","Med Marijuana Opt Prem Cultiv","TRILL EVOLUTIONS LLC","TREE OF WELLNESS","License Issued - Active","9/14/2019 12:00:00 AM","3303","E","42ND","AVE","","DENVER","80216"
"2014-BFN-1070992","Retail Marij Opt. Prem. Cultiv","FRESH BAKED, LLC","FRESH BAKED","License Issued - Active","3/7/2020 12:00:00 AM","4600","N","IRONTON","ST","103","DENVER","80239"
"2013-BFN-1069369","Retail Marij Opt. Prem. Cultiv","HIGH COUNTRY SUPPLY, LLC","COLORADO HARVE2ST COMPANY","License Issued - Active","1/1/2020 12:00:00 AM","2335","S","PLATTE RIVER","DR","","DENVER","80223"
"2014-BFN-1071715","Retail Marijuana Inf Prod Mfg","GHT LLC","SUMMIT CONCENTRATES","License Issued - Active","4/15/2020 12:00:00 AM","5020","E","41ST","AVE","","DENVER","80216"
"2010-BFN-1048204","Medical Marijuana Center","RIVERROCK, LLC","RIVERROCK WELLNESS","License Issued - Active","9/11/2019 12:00:00 AM","4935","N","YORK","ST","","DENVER","80216"
"2013-BFN-1068930","Retail Marij Opt. Prem. Cultiv","THE GREEN SOLUTION, LLC","","License Issued - Active","1/1/2020 12:00:00 AM","4394","N","GRAPE","ST","","DENVER","80216"
"2015-BFN-0004648","Retail Marijuana Store","SHRED INVESTMENTS, LLC","HIGH WEST CANNABIS","License Issued - Active","8/5/2019 12:00:00 AM","10625","E","51st","AVE","100","Denver","80239"
"2015-BFN-0008211","Med Marijuana Inf Prod Manuf","PEORIA PARTNERS, LLC","","License Issued - Active","10/31/2019 12:00:00 AM","5475","N","PEORIA","ST","2-104, 105","DENVER","80239"
"2015-BFN-0007653","Med Marijuana Opt Prem Cultiv","YUMA WAY LLC","1136 YUMA","License Issued - Active","4/13/2020 12:00:00 AM","1240","S","Bannock","ST","","Denver","80223"
"2015-BFN-0008390","Medical Marijuana Center","MHFS, LLC","GOOD CHEMISTRY","License Issued - Active","11/22/2019 12:00:00 AM","2563","","15TH","ST","103","DENVER","80211"
"2010-BFN-1045404","Medical Marijuana Center","DENVER PATIENTS GROUP, LLC","LIV WELL","License Issued - Active","12/9/2019 12:00:00 AM","2863","","LARIMER","ST","","DENVER","80205"
"2012-BFN-1061667","Med Marijuana Opt Prem Cultiv","JET BLACK ENTERPRISES","LEIFFA","License Issued - Active","4/9/2020 12:00:00 AM","5775","E","39TH","AVE","","DENVER","80207"
"2012-BFN-1061669","Med Marijuana Inf Prod Manuf","LAB 710, LLC","LAB 710","License Issued - Active","3/21/2020 12:00:00 AM","1346","W","CEDAR","AVE","","DENVER","80223"
"2012-BFN-1061589","Med Marijuana Opt Prem Cultiv","LEVELS IV INC","LEVELS IV INC","License Issued - Active","9/27/2019 12:00:00 AM","3857","N","ELM","ST","","DENVER","80207"
"2013-BFN-1068323","Medical Marijuana Center","UNIVERSAL HERBS, LLC","UNIVERSAL HERBS","License Issued - Active","9/25/2019 12:00:00 AM","755","S","JASON","ST","100","DENVER","80223"
"2012-BFN-1060717","Med Marijuana Opt Prem Cultiv","ALLGREENS, LLC","","License Issued - Active","9/7/2019 12:00:00 AM","5475","N","Peoria","","1-104","Denver","80239"
"2015-BFN-0003811","Med Marijuana Opt Prem Cultiv","ADAMS GREEN CROSSING LLC","ADAMS GREEN CROSSING","License Issued - Active","8/16/2019 12:00:00 AM","790","W","EVANS","AVE","","DENVER","80223"
"2014-BFN-0005631","Med Marijuana Inf Prod Manuf","ABSTRACT ALCHEMY, LLC","","License Issued - Active","11/17/2019 12:00:00 AM","3925","N","ONEIDA","ST","","DENVER","80207"
"2010-BFN-1045677","Medical Marijuana Center","1617 WAZEE STREET LLC","LODO WELLNESS CENTER","License Issued - Active","5/22/2020 12:00:00 AM","1617","","Wazee","","B","Denver","80202"
"2013-BFN-1069336","Retail Marij Opt. Prem. Cultiv","HOLLY MEDICINAL SERVICES, LLC","THE CLINIC ON COLORADO","License Issued - Active","1/1/2020 12:00:00 AM","2675","S","SANTA FE DR UNITS 6D, 6E, 6F, 6G, 6H","","","DENVER","80223"
"2012-BFN-1060779","Med Marijuana Opt Prem Cultiv","HIGH COUNTRY SUPPLY, LLC","COLORADO HARVEST COMPANY","License Issued - Active","10/10/2019 12:00:00 AM","1178","S","KALAMATH","ST","","DENVER","80223"
"2013-BFN-1069527","Retail Marijuana Store","LIGHTSHADE LABS, LLC","LIGHTSHADE","License Issued - Active","2/7/2020 12:00:00 AM","330","S","DAYTON","ST","","DENVER","80247"
"2013-BFN-1069587","Retail Marijuana Store","THE GIVING TREE OF DENVER, LLC","","License Issued - Active","3/6/2020 12:00:00 AM","2707","W","38TH","AVE","","DENVER","80211"
"2017-BFN-0001427","Retail Marijuana Inf Prod Mfg","JOLET VENTURES, LLC","710 LABS","License Issued - Active","1/23/2020 12:00:00 AM","10975","E","47th","AVE","","Denver","80239"
"2015-BFN-0005046","Med Marijuana Opt Prem Cultiv","NATURE MED, INC.","KIND-MEDS","License Issued - Active","7/19/2019 12:00:00 AM","5105","E","38TH AVE UNIT 101-204","","","DENVER","80207"
"2017-BFN-0008899","Retail Marij Opt. Prem. Cultiv","MX LLC","","License Issued - Active","3/19/2020 12:00:00 AM","3855","N","Quentin","St","","Denver","80239"
"2014-BFN-0003960","Med Marijuana Opt Prem Cultiv","PINEAPPLE EXCHANGE, LLC","PINEAPPLE EXCHANGE","License Issued - Active","5/11/2020 12:00:00 AM","2218","S","KALAMATH","ST","A","DENVER","80223"
"2014-BFN-0004314","Med Marijuana Opt Prem Cultiv","NEW AMSTERDAM ORGANICS LTD","NEW AMSTERDAM ORGANICS","License Issued - Active","1/22/2020 12:00:00 AM","150","N","RIO GRANDE","BLVD","","DENVER","80223"
"2014-BFN-0004769","Medical Marijuana Center","MJM HOLDINGS LIMITED","STICKY FINGERZ","License Issued - Active","12/18/2019 12:00:00 AM","3954","N","WILLIAMS","ST","","DENVER","80205"
"2014-BFN-1073638","Medical Marijuana Center","C.G. INDUSTRY, LLC","CROSS GENETICS","License Issued - Active","8/18/2019 12:00:00 AM","4902","E","SMITH","RD","C","DENVER","80216"
"2014-BFN-1071719","Retail Marijuana Test Facility","TERRA HEALTH CARE LABS, INC.","AGRISCIENCE LABS","License Issued - Active","9/16/2019 12:00:00 AM","2120","S","BIRCH","ST","","DENVER","80222"
"2014-BFN-0003085","Retail Marijuana Store","PEAK HOLDINGS GROUP, LLC","PEAK DISPENSARY","License Issued - Active","10/16/2019 12:00:00 AM","260","N","BROADWAY","","","DENVER","80203"
"2012-BFN-1060861","Med Marijuana Opt Prem Cultiv","DISCOUNT MEDICAL MARIJUANA, LLC","HIGH LEVEL HEALTH","License Issued - Active","6/27/2020 12:00:00 AM","3730","E","44TH","AVE","","DENVER","80216"
"2013-BFN-1069605","Retail Marij Opt. Prem. Cultiv","MAHATMA GANGA, LLC","MAHATMA EXTREME CONCENTRATES","License Issued - Active","1/1/2020 12:00:00 AM","1045","W","45TH","AVE","","DENVER","80211"
"2013-BFN-1070236","Retail Marijuana Store","COLORADO FARMS, INC","LIGHTSHADE LABS","License Issued - Active","2/26/2020 12:00:00 AM","11975","E","40TH","AVE","","DENVER","80239"
"2013-BFN-1068994","Retail Marij Opt. Prem. Cultiv","NUTRITIONAL ELEMENTS, LLC","THE HEALTH CENTER","License Issued - Active","1/9/2020 12:00:00 AM","4800","N","NOME","ST","","DENVER","80239"
"2013-BFN-1069021","Retail Marij Opt. Prem. Cultiv","MILE HIGH THERAPEUTIC NETWORK, LLC","ALTITUDE WEST","License Issued - Active","1/2/2020 12:00:00 AM","900","N","VALLEJO","ST","","DENVER",""
"2015-BFN-0008458","Med Marijuana Inf Prod Manuf","Mx, LLC","","License Issued - Active","10/27/2019 12:00:00 AM","3855","N","QUENTIN","ST","","DENVER","80239"
"2014-BFN-0004432","Med Marijuana Inf Prod Manuf","EC LABS, LLC","ENDOCANNA","License Issued - Active","2/27/2020 12:00:00 AM","4300","N","FOREST","ST","150","DENVER","80216"
"2015-BFN-0003449","Med Marijuana Opt Prem Cultiv","DARK HORSE GENETICS LLC","","License Issued - Active","9/14/2019 12:00:00 AM","2145","S","KALAMATH","ST","","DENVER","80223"
"2012-BFN-1062003","Med Marijuana Opt Prem Cultiv","HG LTD","HIGHER GRADE","License Issued - Active","10/28/2019 12:00:00 AM","4800","N","OAKLAND","ST","5","DENVER","80239"
"2012-BFN-1060615","Med Marijuana Opt Prem Cultiv","HADCAV ENTERPRISES, INC.","PURE MEDICAL DISPENSARY","License Issued - Active","1/14/2020 12:00:00 AM","5475","N","PEORIA","ST","2-101-103","Denver","80239"
"2012-BFN-1061657","Med Marijuana Opt Prem Cultiv","GT VENTURES I, LLC","PANDO","License Issued - Active","9/26/2019 12:00:00 AM","777","N","Canosa","CT","102 & 104","Denver","80204"
"2012-BFN-1061577","Med Marijuana Opt Prem Cultiv","KIRKE LLC","THE HEMP CENTER COLORADO SPRINGS","License Issued - Active","6/23/2020 12:00:00 AM","4570","N","JASON","ST","","DENVER","80211"
"2013-BFN-1069487","Retail Marijuana Inf Prod Mfg","MEDICALLY CORRECT, LLC","INCREDIBLES","License Issued - Active","1/16/2020 12:00:00 AM","1308","S","JASON","ST","","DENVER","80223"
"2013-BFN-1069782","Retail Marijuana Store","DELTA-9 DELIGHTS LLC","REEFER MADNESS","License Issued - Active","6/2/2020 12:00:00 AM","4401","E","46TH","AVE","B","DENVER","80216"
"2013-BFN-1070075","Retail Marij Opt. Prem. Cultiv","KTA, LLC","","License Issued - Active","4/18/2020 12:00:00 AM","110","N","Yuma","","","Denver","80223"
"2010-BFN-1047807","Medical Marijuana Center","BUDDIES WELLNESS LLC","LA BODEGA","License Issued - Active","4/4/2020 12:00:00 AM","1270","W","CEDAR","AVE","A","DENVER","80223"
"2010-BFN-1048159","Medical Marijuana Center","DENVER DISPENSARY, LLC","DENVER DISPENSARY","License Issued - Active","9/11/2019 12:00:00 AM","4975","N","VASQUEZ","BLVD","","DENVER","80216"
"2012-BFN-1060846","Med Marijuana Opt Prem Cultiv","NEW AGE ALTERNATIVE, LLC","SENSE OF HEALING","License Issued - Active","1/30/2020 12:00:00 AM","150","N","TEJON","ST","","DENVER","80223"
"2012-BFN-1060767","Med Marijuana Opt Prem Cultiv","LIGHTSHADE LABS, LLC","LIGHTSHADE","License Issued - Active","8/15/2019 12:00:00 AM","788","N","VALLEJO","ST","","DENVER","80204"
"2015-BFN-0008303","Med Marijuana Opt Prem Cultiv","TOP SHELF, LLC","TOP SHELF","License Issued - Active","9/9/2019 12:00:00 AM","1100","S","KALAMATH","ST","","DENVER","80223"
"2017-BFN-0000775","Retail Marijuana Store","MJM HOLDINGS LIMITED","STICKY FINGERZ","License Issued - Active","6/28/2020 12:00:00 AM","3954","N","WILLIAMS","ST","","DENVER","80205"
"2015-BFN-0003036","Med Marijuana Inf Prod Manuf","AVICENNA PRODUCTS, LLC","HIGH TECH CONCENTRATES","License Issued - Active","9/25/2019 12:00:00 AM","3950","N","GRAPE","ST","","DENVER","80207"
"2015-BFN-0003214","Retail Marij Opt. Prem. Cultiv","MILE HIGH DISPENSARY, LLC","MILE HIGH DISPENSARY","License Issued - Active","9/9/2019 12:00:00 AM","54","N","LIPAN","ST","","DENVER","80223"
"2012-BFN-1062012","Med Marijuana Opt Prem Cultiv","GANJA GOURMET, LLC","GANJA GOURMET","License Issued - Active","9/30/2019 12:00:00 AM","4902","E","SMITH","RD","B","DENVER","80216"
"2012-BFN-1060506","Med Marijuana Opt Prem Cultiv","BUDDIES WELLNESS LLC","LA BODEGA","License Issued - Active","5/3/2020 12:00:00 AM","1270","W","Cedar","","A","Denver","80223"
"2012-BFN-1060648","Med Marijuana Opt Prem Cultiv","THE GIVING TREE OF DENVER, LLC","","License Issued - Active","9/24/2019 12:00:00 AM","1255","S","HURON","ST","","DENVER","80223"
"2010-BFN-1045906","Medical Marijuana Center","LITTLE BROWN HOUSE DISPENSARY, LLC","LITTLE BROWNHOUSE","License Issued - Active","2/16/2020 12:00:00 AM","1995","S","BROADWAY","","","DENVER","80210"
"2013-BFN-1069019","Retail Marijuana Store","MILE HIGH THERAPEUTIC NETWORK, LLC","ALTITUDE WEST","License Issued - Active","1/2/2020 12:00:00 AM","1568","S","FEDERAL","BLVD","","DENVER","80219"
"2014-BFN-0003138","Retail Marijuana Store","AMERICAN INDUSTRY, LLC","DENVER CLONE STORE","License Issued - Active","12/17/2019 12:00:00 AM","755","S","FEDERAL","BLVD","5","DENVER","80219"
"2016-BFN-0004803","Retail Marij Opt. Prem. Cultiv","VENTURE PRODUCT CONSULTING, LLC","RIZE","License Issued - Active","5/5/2020 12:00:00 AM","4242","N","ELIZABETH","ST","2","DENVER","80216"
"2017-BFN-0006418","Retail Marijuana Inf Prod Mfg","GENTLEMAN QUINNS LLC","GENTLEMAN QUINNS","License Issued - Active","5/23/2020 12:00:00 AM","2282","N","Broadway","","","Denver",""
"2015-BFN-0007832","Med Marijuana Inf Prod Manuf","WONDERLAND EDIBLES, LTD.","","License Issued - Active","9/20/2019 12:00:00 AM","5475","N","PEORIA","ST","4-109","DENVER","80239"
"2016-BFN-0004033","Retail Marijuana Store","HOBBY FARMS LLC","A CUT ABOVE","License Issued - Active","7/6/2020 12:00:00 AM","1911","S","BROADWAY","","","DENVER","80210"
"2015-BFN-0001155","Medical Marijuana Center","LEVELS IV, INC","LEVELS IV INC","License Issued - Active","11/24/2019 12:00:00 AM","5201","W","48TH","AVE","","DENVER","80212"
"2010-BFN-1046101","Medical Marijuana Center","PRIMA BRANDS LLC","PRIMA CANNABIS COMPANY","License Issued - Active","5/22/2020 12:00:00 AM","4571","N","IVY","ST","","DENVER","80216"
"2013-BFN-1069354","Retail Marij Opt. Prem. Cultiv","KGBI COLORADO LLC","SENSE OF HEALING","License Issued - Active","1/9/2020 12:00:00 AM","400","N","QUIVAS","ST","","DENVER","80204"
"2012-BFN-1060888","Med Marijuana Opt Prem Cultiv","URBAN HEALTH & WELLNESS INC","URBAN DISPENSARY","License Issued - Active","10/17/2019 12:00:00 AM","4850","N","JACKSON","ST","","DENVER","80216"
"2013-BFN-1066100","Med Marijuana Opt Prem Cultiv","H&J SERVICES, INC.","BEMINDFUL","License Issued - Active","9/30/2019 12:00:00 AM","3880","N","HOLLY","ST","","DENVER","80207"
"2014-BFN-0002267","Retail Marijuana Store","SISSCO LLC","TRENCHTOWN","License Issued - Active","1/23/2020 12:00:00 AM","734","N","SHERIDAN","BLVD","","DENVER","80214"
"2017-BFN-0003467","Retail Marijuana Inf Prod Mfg","COLORADO MOONROCKS LLC","","License Issued - Active","8/28/2019 12:00:00 AM","3945","E","50th","AVE","","Denver","80216"
"2013-BFN-1067886","Med Marijuana Inf Prod Manuf","KIND LOVE LLC","KIND LOVE","License Issued - Active","7/6/2020 12:00:00 AM","4890","N","JOLIET","ST","","DENVER","80239"
"2016-BFN-0004546","Retail Marijuana Inf Prod Mfg","FOCUSED LABS, LLC","","License Issued - Active","9/16/2019 12:00:00 AM","3795","N","PARIS","ST","D","DENVER","80239"
"2018-BFN-0002890","Retail Marijuana Store","KGBI COLORADO, LLC","SPARK DISPENSARY","License Issued - Active","10/11/2019 12:00:00 AM","3900","E","48th","Ave","","Denver","80216"
"2016-BFN-0004178","Retail Marijuana Inf Prod Mfg","GOOD LIFE, COLORADO LLC","GOOD LIFE PRODUCTS","License Issued - Active","10/3/2019 12:00:00 AM","5475","N","PEORIA","ST","4-110","DENVER","80239"
"2014-BFN-0005237","Retail Marij Opt. Prem. Cultiv","COLORADO CANNABIS COMPANY LLC","PURE MEDICAL DISPENSARY","License Issued - Active","2/11/2020 12:00:00 AM","5475","N","PEORIA","ST","1-107-112","DENVER","80239"
"2014-BFN-0004814","Retail Marij Opt. Prem. Cultiv","TWOG-WALNUT, LLC","BUDDY BOY","License Issued - Active","2/13/2020 12:00:00 AM","3814","","WALNUT","ST","","DENVER","80205"
"2015-BFN-0000894","Med Marijuana Inf Prod Manuf","COLORADO MEDICAL PROCESSING, LLC","COLORADO'S BEST DABS","License Issued - Active","7/28/2020 12:00:00 AM","5475","N","PEORIA ST UNIT 4-111 & 4-112","","","DENVER","80239"
"2010-BFN-1045701","Medical Marijuana Center","RJJ TOWER, LLC","NATIVE ROOTS DENVER AIRPORT","License Issued - Active","3/5/2020 12:00:00 AM","7050","N","TOWER","RD","","DENVER","80249"
"2014-BFN-1072818","Retail Marijuana Store","PLATTE VALLEY DISPENSARY, LLC","PLATTE VALLEY DISPENSARY","License Issued - Active","8/4/2020 12:00:00 AM","2301","","7TH","ST","B","DENVER","80211"
"2013-BFN-1066776","Med Marijuana Opt Prem Cultiv","BELLFLOWER, LLC","","License Issued - Active","10/28/2019 12:00:00 AM","1001","W","CENTER","AVE","","DENVER",""
"2013-BFN-1068965","Retail Marijuana Store","SWEETWATER PARTNERS LLC","GOOD CHEMISTRY","License Issued - Active","1/7/2020 12:00:00 AM","330","E","COLFAX","AVE","","DENVER","80203"
"2016-BFN-0004805","Retail Marijuana Inf Prod Mfg","SMART CARE, LLC","SMART CARE EXTRACTS","License Issued - Active","11/25/2019 12:00:00 AM","4696","N","GLENCOE","ST","","DENVER","80216"
"2015-BFN-0002871","Med Marijuana Opt Prem Cultiv","E2T2 LLC","DIEGO PELLICER","License Issued - Active","10/8/2019 12:00:00 AM","2057","S","Broadway","","","Denver","80210"
"2015-BFN-0002769","Med Marijuana Inf Prod Manuf","ALLGREENS, LLC","","License Issued - Active","11/13/2019 12:00:00 AM","1235","S","HURON","ST","","DENVER","80223"
